Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test level),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text Steps),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SM - Verify Withdrawal - Verify source account number is valid,BK02-195,10233,Bug,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,24/Dec/22 8:46 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,,"Account No: 184123

Amount:100

Description: 1223",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,24/Dec/22 8:46 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221224-134643.png;https://dolongvu.atlassian.net/secure/attachment/10124/image-20221224-134643.png,,,,,,,,,,,,,,,BK02-13,,,,No error message appeared after enter account number,,,,,0|hzzzzy:zqr,,NC Sprint 2,,,,,,,,,System,,Fail,,"1. Enter source account number
2.Sumbit",,,In Progress
SC - Create New Account - Customer ID is invalid,BK02-194,10232,Bug,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Tâm Hà,638ee5aaf48fbd9b62d97a6f,Tâm Hà,638ee5aaf48fbd9b62d97a6f,Tâm Hà,638ee5aaf48fbd9b62d97a6f,24/Dec/22 8:35 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,NewAccout,Enter Customer ID is invalid,,Tâm Hà,638ee5aaf48fbd9b62d97a6f,,,,,,,,,,,,,,,,,,,,,,,,24/Dec/22 8:35 PM;ug:07cad6c8-2c57-4458-ad20-c2b500a7bfab;image-20221224-133457.png;https://dolongvu.atlassian.net/secure/attachment/10121/image-20221224-133457.png,,,,,The screen White ,,,,,,,,,,BK02-8,,,,system displays an error,,,,,0|hzzzzy:zqi,,NC Sprint 2,,,,,,,,,System,,Fail,,"1) Enter the Customer ID is unvalid
2) Enter the Initial deposit",,,In Progress
SC - Verify Fund Transfer - Verify source account is associate with customer itself,BK02-193,10231,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,24/Dec/22 8:00 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,24/Dec/22 10:13 PM,,0,FundTransfer,Payers account: 116713,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,24/Dec/22 10:12 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20221224-151238.png;https://dolongvu.atlassian.net/secure/attachment/10132/image-20221224-151238.png,,,,,,,,,,,,,,,BK02-2,,,,User redirected to Fund Transafer Details for Account page,,,,,0|hzzzzy:zq,,NC Sprint 2,,,,,,,,,System,,Pass,,"1.Enter payers account
2.submit",,,Done
SC - Create New Customer - With Same Email,BK02-192,10230,Bug,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Tâm Hà,638ee5aaf48fbd9b62d97a6f,Tâm Hà,638ee5aaf48fbd9b62d97a6f,Tâm Hà,638ee5aaf48fbd9b62d97a6f,24/Dec/22 7:47 PM,03/Jan/23 4:05 PM,03/Jan/23 4:39 PM,,,0,NewCustomer,"Enter all information 

{adf:display=block}
{""type"":""table"",""attrs"":{""isNumberColumnEnabled"":false,""layout"":""default"",""localId"":""5fb85fd0-dff7-452a-9c53-153624b9d18b""},""content"":[{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{""colspan"":2},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Add New Customer""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Customer Name""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""NhomFiveA""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Gender""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Female ""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Date of Birth""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""01/01/2003""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Address""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""tanphu""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""City""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""State""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""PIN""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""123456""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Mobile Number""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""0123456789""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""E-mail""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm@gmail.vn""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{""background"":""#ffffff""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Password""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""123456""}]}]}]}]}
{adf}",,Tâm Hà,638ee5aaf48fbd9b62d97a6f,,,,,,,,,,,,,,,,,,,,,,,,24/Dec/22 7:49 PM;ug:07cad6c8-2c57-4458-ad20-c2b500a7bfab;image-20221224-124954.png;https://dolongvu.atlassian.net/secure/attachment/10119/image-20221224-124954.png,24/Dec/22 7:59 PM;ug:07cad6c8-2c57-4458-ad20-c2b500a7bfab;image-20221224-125925.png;https://dolongvu.atlassian.net/secure/attachment/10120/image-20221224-125925.png,,,,Your User id is wrong please provide correct userid,,,,,,,,,,BK02-6,,,,Warning that Email is already in use,,,,,0|hzzzzy:zp,,NC Sprint 2,,,,,,,,,System,,Fail,,Enter the information in the Description,,,In Progress
SC - Create New Customer - With New Email,BK02-191,10229,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,,,Tâm Hà,638ee5aaf48fbd9b62d97a6f,Tâm Hà,638ee5aaf48fbd9b62d97a6f,24/Dec/22 7:40 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,24/Dec/22 7:40 PM,,0,NewCustomer,"Enter all information 



{adf:display=block}
{""type"":""table"",""attrs"":{""isNumberColumnEnabled"":false,""layout"":""default"",""localId"":""5fb85fd0-dff7-452a-9c53-153624b9d18b""},""content"":[{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{""colspan"":2},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Add New Customer""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Customer Name""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""NhomFive""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Gender""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""male ""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Date of Birth""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""01/01/2003""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Address""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""tanphu""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""City""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""State""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""PIN""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""123456""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Mobile Number""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""0123456789""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""E-mail""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""hcm@gmail.vn""}]}]}]},{""type"":""tableRow"",""content"":[{""type"":""tableCell"",""attrs"":{""background"":""#ffffff""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Password""}]}]},{""type"":""tableCell"",""attrs"":{},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""123456""}]}]}]}]}
{adf}",,Tâm Hà,638ee5aaf48fbd9b62d97a6f,,,,,,,,,,,,,,,,,,,,,,,,24/Dec/22 7:19 PM;ug:07cad6c8-2c57-4458-ad20-c2b500a7bfab;image-20221224-121931.png;https://dolongvu.atlassian.net/secure/attachment/10117/image-20221224-121931.png,,,,,Show the table information of new customer and Customer ID,,,,,,,,,,BK02-6,,,,Show the table information of new customer and Customer ID,,,,,0|hzzzzy:zn,,NC Sprint 2,,,,,,,,,System,,Pass,,Enter the information in the Description,,,Done
SC - Verify Delete Account & Fund Transfer - Verify could not transfer to a account has been delete,BK02-189,10227,Story,Done,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,Done,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,24/Dec/22 7:32 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,24/Dec/22 10:35 PM,,0,DeleteAccount,Could not transfer to a account has been delete,,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,,,,,,,,,,,,,,,,,,,,,,,BK02-164,,,,,,Expected is correct.,,,,,,,,,,BK02-10,,,,"1. A pop up ""No details found for this accounts !!!"".
2. Redirect to Fund Transfer page.",,,,,0|hzzzzy:zk,,NC Sprint 2,,,,,,,,,System,,Pass,,"1.Click on the Fund Transfer
2. Enter Account number has been delete on input
3.Submit",,,Done
"SM - Verify Delete Account - Verify account deleted, after redirect to account list page",BK02-188,10226,Bug,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,24/Dec/22 6:59 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,DeleteAccount,"If Account Number is invalid, system displays an error",,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,,,,,,,,,,,,,,,,,,,,,,,BK02-163,24/Dec/22 10:33 PM;ug:36bf0a42-2a23-42b2-a861-ebc43e1cf48f;Screenshot_20221224_103224.png;https://dolongvu.atlassian.net/secure/attachment/10138/Screenshot_20221224_103224.png,,,,,"A pop up ""Customer does not Exist!!!""",,,,,,,,,,BK02-10,,,,"1. A pop up ""Account Deleted Success"";
2.Redirect to account list page",,,,,0|hzzzzy:zd,,NC Sprint 2,,,,,,,,,System,,Fail,,"1.Enter account number on input
2.submit",,,In Progress
SC-Verify Balance Enquiry- Verify valid account,BK02-187,10225,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 6:55 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,BalanceEnquiry,"Balance Enquiry

Account No :1234",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errol  acount doesn't exits,,,,,,,,,,BK02-1,,,,"When you enter a valid account, you will be able to log into the system",,,,,0|hzzzzy:z,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter Account No
2)Submit",,,To Do
SC-Verify Mini Statement- Verify  the account is not linked to the customer himself,BK02-186,10224,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 6:53 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,MiniStatementPage,"Mini statement

Account No :1234",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK02-3,,,,"If the account is not linked to the customer himself, the System will show success",,,,,0|hzzzzy:yi,,NC Sprint 2,,,,,,,,,System,,Skip,,"1)Enter Account No
2)Submit",,,To Do
"SM - Verify Delete Customer - Verify customer deleted, after redirect to customer list page.",BK02-185,10223,Bug,In Progress,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,24/Dec/22 6:47 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,DeleteCustomer,"customer deleted, after redirect to customer list page.",,Quốc Thành Nguyễn,628f26531e4f4b00681d1ad1,,,,,,,,,,,,,,,,,,,,,,,BK02-162,24/Dec/22 10:20 PM;ug:36bf0a42-2a23-42b2-a861-ebc43e1cf48f;Screenshot_20221224_102020.png;https://dolongvu.atlassian.net/secure/attachment/10137/Screenshot_20221224_102020.png,,,,,"A pop up ""Customer does not Exist!!!""",,,,,,,,,,BK02-11,,,,"1. A pop up ""Customer Deleted Success"";
2.Redirect to customer list page",,,,,0|hzzzzy:y,,NC Sprint 2,,,,,,,,,System,,Fail,,"1.Enter customer Id on input
2.submit",,,In Progress
SC-Verify Mini Statement- Verify valid account,BK02-184,10222,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 6:18 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,MiniStatementPage,"Mini statement

Account No :1234",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errol  acount doesn't exits,,,,,,,,,,BK02-3,,,,"
If Enter correct imformation  Mini Statment will be able to login",,,,,0|hzzzzy:x,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter Account No
2)Submit",,,To Do
"SC-Verify Customized Statement- Verify Entering the correct From Lesser Days To Days,rule will change  custom statement information",BK02-183,10221,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 6:03 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,CustomizedStatementForm,"Custom statement

Account No :1234

From Date : 07/12/2022

To Date : 10/12/2022

Minimum Transaction Value: 100

Number of Transaction :200",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errol  acount doesn't exits,,,,,,,,,,BK02-4,,,,"Custom Statement information can be changed after enter correctFrom Lesser Days To Days,",,,,,0|hzzzzy:w,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter all fields
2)Submit",,,To Do
SC-Verify Customized Statement- Verify after entering the account number will change the custom statement information,BK02-182,10220,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:45 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,CustomizedStatementForm,"Custom statement

Account No :1234

From Date : 07/12/2022

To Date : 10/12/2022

Minimum Transaction Value: 100

Number of Transaction :200",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errol  acount doesn't exits,,,,,,,,,,BK02-4,,,,Custom Statement information can be changed after entering the account no ,,,,,0|hzzzzy:u,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter all fields
2)Submit",,,To Do
SC-Verify Change Password - Verify incorrect Old Password,BK02-181,10219,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:28 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,BK02-178,24/Dec/22 5:28 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10115/pass-not-found.jpg,,,,,"errol""not found""",,,,,,,,,,BK02-5,,,,You can changed after enter correct old pass word  ,,,,,0|hzzzzy:q,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter Old Password
2)Submit",,,To Do
SC-Verify Change Password - Verify you can login after password  with New password  is changed,BK02-180,10218,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:27 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,BK02-177,24/Dec/22 5:27 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10114/pass-not-found.jpg,,,,,"error""NOT FOUND""",,,,,,,,,,BK02-5,,,,you can login after password  with New password  is changed,,,,,0|hzzzzy:hv,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter User  ID,Name and ""NEW"" password
2)Submit",,,To Do
SC-Verify Change Password - Verify after password is changed page is redirected to Login screen,BK02-179,10217,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:27 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,BK02-176,24/Dec/22 5:27 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10113/pass-not-found.jpg,,,,,"error""NOT FOUND""",,,,,,,,,,BK02-5,,,,after password is changed page is redirected to Login screen and no error message appeared after changing the password,,,,,0|hzzzzy:,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Click on change Password
2)Enter required fields
3)Submit",,,To Do
SM-Verify Change Password - Verify incorrect Old Password,BK02-178,10216,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:22 PM,03/Jan/23 4:05 PM,03/Jan/23 4:59 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,BK02-181,,,,24/Dec/22 5:22 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10112/pass-not-found.jpg,,,,,"errol""not found""",,,,,,,,,,BK02-5,,,,You can changed after enter correct old pass word  ,,,,,0|hzzzzx:i,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter Old Password
2)Submit",,,To Do
SM-Verify Change Password - Verify you can login after password  with New password  is changed,BK02-177,10215,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:17 PM,03/Jan/23 4:05 PM,03/Jan/23 3:35 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,BK02-180,,,,24/Dec/22 5:17 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10111/pass-not-found.jpg,,,,,"error""NOT FOUND""",,,,,,,,,,BK02-5,,,,you can login after password  with New password  is changed,,,,,0|hzzzzx:,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Enter User  ID,Name and ""NEW"" password
2)Submit",,,To Do
SM-Verify Change Password - Verify after password is changed page is redirected to Login screen ,BK02-176,10214,Story,To Do,BK02,Banking02,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,24/Dec/22 5:09 PM,03/Jan/23 4:05 PM,03/Jan/23 3:35 PM,,,0,ChangePassword," Old Password -correct  Old Password

New Password :123456@

Cofirm Password:123456@",,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,BK02-179,,,,24/Dec/22 5:13 PM;62a15e599b728c006a94a6ee;pass-not-found.jpg;https://dolongvu.atlassian.net/secure/attachment/10109/pass-not-found.jpg,,,,,"error""NOT FOUND""",,,,,,,,,,BK02-5,,,,after password is changed page is redirected to Login screen and no error message appeared after changing the password,,,,,0|hzzzzw:,,NC Sprint 2,,,,,,,,,System,,Fail,,"1)Click on change Password
2)Enter required fields
3)Submit",,,To Do
